dataset_name,model_name,comparison,metric,n_seeds,mean_delta,std_delta,descriptive_ci95_low,descriptive_ci95_high,seed_level_deltas
ag_news,large-6,fixed_order_with_guard minus stable_with_guard,test_acc,3,0.00337719298245609,0.004715473242843089,-0.0019588673199233027,0.008713253284835482,"[-0.0009210526315788226, 0.002631578947368318, 0.008421052631578774]"
ag_news,large-6,fixed_order_with_guard minus stable_with_guard,ece,3,0.008723006577868233,0.013981171678879918,-0.007098178557611646,0.02454419171334811,"[-0.00042723614526420095, 0.0017795362245096001, 0.0248167196543593]"
ag_news,large-6,fixed_order_with_guard minus stable_with_guard,nll,3,0.0048705637454986754,0.006417287410004999,-0.002391280577223147,0.012132408068220498,"[0.007269859313964899, -0.002400666475295965, 0.009742498397827093]"
ag_news,large-6,fixed_order_with_guard minus stable_with_guard,brier,3,-0.004160477191067703,0.0045935685890402264,-0.009358589391457537,0.0010376350093221302,"[0.0004478085014992944, -0.004190054229558704, -0.008739185845143702]"
ag_news,large-6,fixed_order_with_guard minus stable_with_guard,generalization_gap_01,3,0.008018231854145132,0.015558075719857243,-0.009587388187521901,0.025623851895812164,"[-0.006569143446852499, 0.0062311661506707985, 0.024392672858617098]"
ag_news,large-6,buggy_no_guard minus fixed_order_with_guard,test_acc,3,-0.17995614035087715,0.012915084196989439,-0.19457093393284466,-0.16534134676890963,"[-0.17236842105263162, -0.19486842105263147, -0.17263157894736836]"
ag_news,large-6,buggy_no_guard minus fixed_order_with_guard,ece,3,0.2093749349590456,0.016143748419362537,0.19110656386757444,0.22764330605051677,"[0.1980096706630367, 0.22785380439146571, 0.2022613298226344]"
ag_news,large-6,buggy_no_guard minus fixed_order_with_guard,nll,3,4.890810151894887,0.3121351005600486,4.537596034604412,5.244024269185362,"[4.843899428844452, 4.604785531759262, 5.223745495080948]"
ag_news,large-6,buggy_no_guard minus fixed_order_with_guard,brier,3,0.375432035910562,0.025105437311872644,0.34702255916990143,0.4038415126512226,"[0.360070388567199, 0.40440365162467296, 0.361822067539814]"
ag_news,large-6,buggy_no_guard minus fixed_order_with_guard,generalization_gap_01,3,-0.017641898864809033,0.004865980521483148,-0.023148274186150584,-0.012135523543467482,"[-0.0148570691434468, -0.014808049535603699, -0.0232605779153766]"
ag_news,large-6,buggy_rescue_guard minus fixed_order_with_guard,test_acc,3,-0.002368421052631575,0.006042611843792063,-0.00920628005889024,0.004469437953627091,"[0.0009210526315788226, 0.0013157894736842701, -0.009342105263157818]"
ag_news,large-6,buggy_rescue_guard minus fixed_order_with_guard,ece,3,-0.004712793140819267,0.015185504361935878,-0.02189680900186134,0.012471222720222809,"[0.0003339250346547015, 0.007306802061043199, -0.021779106518155702]"
ag_news,large-6,buggy_rescue_guard minus fixed_order_with_guard,nll,3,-0.0029959380626678835,0.009562803909929096,-0.013817269389414015,0.007825393264078249,"[-0.004878848791122492, 0.007368266582488958, -0.011477231979370117]"
ag_news,large-6,buggy_rescue_guard minus fixed_order_with_guard,brier,3,0.0032489282265957035,0.005346363825996038,-0.0028010519778882965,0.009298908431079703,"[0.0017611771239336993, -0.0011959873772764973, 0.009181594933129908]"
ag_news,large-6,buggy_rescue_guard minus fixed_order_with_guard,generalization_gap_01,3,-0.004138114895080833,0.017170998206610704,-0.023568928551289725,0.015292698761128057,"[-0.0007347781217749982, 0.011076367389060898, -0.0227559339525284]"
ag_news,large-6,single_bad_first_step_then_stable minus stable_with_guard,test_acc,3,-0.543201754385965,0.011883213250465926,-0.5566488760691937,-0.5297546327027363,"[-0.5307894736842105, -0.5544736842105263, -0.544342105263158]"
ag_news,large-6,single_bad_first_step_then_stable minus stable_with_guard,ece,3,0.5958450923990786,0.025508492039272742,0.5669795162979073,0.6247106685002498,"[0.5669314997407952, 0.6054350328837571, 0.6151687445726834]"
ag_news,large-6,single_bad_first_step_then_stable minus stable_with_guard,nll,3,16.821509172519047,0.40401714820221524,16.36432073034637,17.278697614691723,"[16.367814242839813, 17.14243394136429, 16.954279333353043]"
ag_news,large-6,single_bad_first_step_then_stable minus stable_with_guard,brier,3,1.1203371889224107,0.025979635454890744,1.0909384638566848,1.1497359139881367,"[1.0920399283217075, 1.14311079691786, 1.1258608415276647]"
ag_news,large-6,single_bad_first_step_then_stable minus stable_with_guard,generalization_gap_01,3,-0.025412624699002406,0.016338912161238926,-0.043901844354734015,-0.006923405043270797,"[-0.0436811145510836, -0.020359649122807, -0.012197110423116601]"
ag_news,large-6,buggy_rescue_guard minus buggy_no_guard,test_acc,3,0.17758771929824557,0.01686333639873105,0.15850505775213009,0.19667038084436106,"[0.17328947368421044, 0.19618421052631574, 0.16328947368421054]"
ag_news,large-6,buggy_rescue_guard minus buggy_no_guard,ece,3,-0.21408772809986487,0.014320122093732093,-0.23029247173732814,-0.1978829844624016,"[-0.197675745628382, -0.22054700233042251, -0.2240404363407901]"
ag_news,large-6,buggy_rescue_guard minus buggy_no_guard,nll,3,-4.893806089957555,0.32127804113259617,-5.2573664184814906,-4.530245761433619,"[-4.848778277635574, -4.597417265176773, -5.235222727060318]"
ag_news,large-6,buggy_rescue_guard minus buggy_no_guard,brier,3,-0.3721831076839663,0.02907803421818008,-0.4050880010153743,-0.3392782143525583,"[-0.35830921144326533, -0.4055996390019494, -0.3526404726066841]"
ag_news,large-6,buggy_rescue_guard minus buggy_no_guard,generalization_gap_01,3,0.0135037839697282,0.012701186248863317,-0.0008689612978970661,0.027876529237353467,"[0.014122291021671802, 0.025884416924664595, 0.0005046439628481995]"
ag_news,medium-4,fixed_order_with_guard minus stable_with_guard,test_acc,3,0.005745614035087665,0.001979523525683671,0.0035055722918631623,0.007985655778312168,"[0.00802631578947366, 0.00473684210526315, 0.004473684210526185]"
ag_news,medium-4,fixed_order_with_guard minus stable_with_guard,ece,3,-0.004972920229560433,0.006565574062407458,-0.01240256669609856,0.0024567262369776938,"[-0.009223888092919397, 0.0025888967435610984, -0.008283769339323]"
ag_news,medium-4,fixed_order_with_guard minus stable_with_guard,nll,3,-0.01729387541611993,0.012590276721512765,-0.031541114738620986,-0.003046636093618873,"[-0.02486729621887207, -0.0027601867914200107, -0.02425414323806771]"
ag_news,medium-4,fixed_order_with_guard minus stable_with_guard,brier,3,-0.008215596859742436,0.0029062687037331746,-0.011504349495880393,-0.004926844223604478,"[-0.010780213504212308, -0.005058867592660804, -0.008807709482354195]"
ag_news,medium-4,fixed_order_with_guard minus stable_with_guard,generalization_gap_01,3,-0.0015756793945648332,0.0059540128532156785,-0.008313279204747458,0.0051619204156177914,"[-0.0055361197110423005, -0.0044623323013415, 0.0052714138286893]"
ag_news,medium-4,buggy_no_guard minus fixed_order_with_guard,test_acc,3,-0.12131578947368415,0.040679180256873226,-0.16734861539025353,-0.07528296355711478,"[-0.1417105263157894, -0.07447368421052636, -0.1477631578947367]"
ag_news,medium-4,buggy_no_guard minus fixed_order_with_guard,ece,3,0.06516582954348181,0.014907251013579608,0.0482966869877695,0.08203497209919412,"[0.0769163825755057, 0.04839699941246131, 0.0701841066424784]"
ag_news,medium-4,buggy_no_guard minus fixed_order_with_guard,nll,3,0.4305386741956075,0.12242035124197116,0.2920070056176799,0.5690703427735351,"[0.5387670695781708, 0.29767358303070074, 0.45517536997795116]"
ag_news,medium-4,buggy_no_guard minus fixed_order_with_guard,brier,3,0.180094326861067,0.05679574662423958,0.11582388924049922,0.24436476448163477,"[0.2152154059387254, 0.11456880855730481, 0.21049876608717072]"
ag_news,medium-4,buggy_no_guard minus fixed_order_with_guard,generalization_gap_01,3,-0.011540419676642632,0.004131378148541347,-0.016215514157564222,-0.006865325195721042,"[-0.012907120743034097, -0.006898864809081598, -0.0148152734778122]"
ag_news,medium-4,buggy_rescue_guard minus fixed_order_with_guard,test_acc,3,-0.000701754385964796,0.0003311330892661951,-0.0010764667512866391,-0.000327042020642953,"[-0.0006578947368419685, -0.00039473684210522553, -0.001052631578947194]"
ag_news,medium-4,buggy_rescue_guard minus fixed_order_with_guard,ece,3,0.0007343684071511002,0.002463546216922025,-0.0020533965729908903,0.0035221333872930906,"[0.0008917161626250981, -0.0018040800996518003, 0.0031154691584800026]"
ag_news,medium-4,buggy_rescue_guard minus fixed_order_with_guard,nll,3,0.00615213314692184,0.0071950241732970915,-0.0019898031739048836,0.014294069467748563,"[0.005227997899055509, -0.0005361735820769986, 0.01376457512378701]"
ag_news,medium-4,buggy_rescue_guard minus fixed_order_with_guard,brier,3,0.0022102031211755032,0.0027508331054048813,-0.0009026575772709319,0.005323063819621938,"[0.0030068848683645066, -0.000851041509422501, 0.0044747660045845045]"
ag_news,medium-4,buggy_rescue_guard minus fixed_order_with_guard,generalization_gap_01,3,-0.003955108359133101,0.006779537218072933,-0.01162687692929067,0.0037166602110244697,"[-0.011783281733746098, 2.579979360099044e-06, -8.462332301330255e-05]"
ag_news,medium-4,single_bad_first_step_then_stable minus stable_with_guard,test_acc,3,-0.49837719298245614,0.040528522951971895,-0.5442395341093668,-0.4525148518555455,"[-0.5218421052631579, -0.4515789473684211, -0.5217105263157895]"
ag_news,medium-4,single_bad_first_step_then_stable minus stable_with_guard,ece,3,0.5455742343619726,0.03570288474624987,0.5051726169285493,0.5859758517953959,"[0.5680532166008886, 0.5044062033962262, 0.5642632830888032]"
ag_news,medium-4,single_bad_first_step_then_stable minus stable_with_guard,nll,3,15.325840786099434,1.1610171245087515,14.012026229336403,16.639655342862465,"[16.12126460671425, 13.993550643324852, 15.862707108259201]"
ag_news,medium-4,single_bad_first_step_then_stable minus stable_with_guard,brier,3,1.0289172324989893,0.08119448128259868,0.9370370274735573,1.1207974375244212,"[1.078568963079703, 0.9352177653824941, 1.0729649690347705]"
ag_news,medium-4,single_bad_first_step_then_stable minus stable_with_guard,generalization_gap_01,3,-0.0337371861025111,0.00795600060564817,-0.04274024832154494,-0.02473412388347726,"[-0.042804953560371395, -0.0304798761609906, -0.0279267285861713]"
ag_news,medium-4,buggy_rescue_guard minus buggy_no_guard,test_acc,3,0.12061403508771935,0.04039973681839254,0.07489742919023298,0.16633064098520572,"[0.14105263157894743, 0.07407894736842113, 0.1467105263157895]"
ag_news,medium-4,buggy_rescue_guard minus buggy_no_guard,ece,3,-0.0644314611363307,0.013112224617580957,-0.0792693401050957,-0.04959358216756571,"[-0.07602466641288061, -0.05020107951211311, -0.0670686374839984]"
ag_news,medium-4,buggy_rescue_guard minus buggy_no_guard,nll,3,-0.42438654104868573,0.11858473993572236,-0.5585778068350811,-0.29019527526229044,"[-0.5335390716791153, -0.2982097566127777, -0.4414107948541641]"
ag_news,medium-4,buggy_rescue_guard minus buggy_no_guard,brier,3,-0.17788412373989146,0.0541839569346778,-0.23919904309900228,-0.11656920438078064,"[-0.2122085210703609, -0.11541985006672731, -0.2060240000825862]"
ag_news,medium-4,buggy_rescue_guard minus buggy_no_guard,generalization_gap_01,3,0.007585311317509531,0.0068291348251139665,-0.0001425822285295907,0.015313204863548653,"[0.001123839009287999, 0.006901444788441697, 0.014730650154798897]"
