dataset,window_steps,kappa,calibration_safe_max,threshold,safe_total,safe_false_positives,safe_false_positive_rate,unsafe_total,unsafe_detected,unsafe_detection_rate
ag_news,100,1.1,3.0295997708220813e-05,3.3325597479042895e-05,12,0,0.0,24,24,1.0
ag_news,100,1.25,3.0295997708220813e-05,3.7869997135276014e-05,12,0,0.0,24,24,1.0
ag_news,100,1.5,3.0295997708220813e-05,4.544399656233122e-05,12,0,0.0,24,24,1.0
ag_news,100,2.0,3.0295997708220813e-05,6.0591995416441626e-05,12,0,0.0,24,24,1.0
ag_news,100,5.0,3.0295997708220813e-05,0.00015147998854110405,12,0,0.0,24,24,1.0
ag_news,100,10.0,3.0295997708220813e-05,0.0003029599770822081,12,0,0.0,24,24,1.0
ag_news,100,20.0,3.0295997708220813e-05,0.0006059199541644162,12,0,0.0,24,24,1.0
ag_news,100,50.0,3.0295997708220813e-05,0.0015147998854110405,12,0,0.0,24,24,1.0
ag_news,100,100.0,3.0295997708220813e-05,0.003029599770822081,12,0,0.0,24,24,1.0
ag_news,100,500.0,3.0295997708220813e-05,0.015147998854110407,12,0,0.0,24,24,1.0
ag_news,100,1000.0,3.0295997708220813e-05,0.030295997708220813,12,0,0.0,24,24,1.0
dbpedia_14,100,1.1,3.472303038485647e-05,3.819533342334212e-05,12,0,0.0,24,24,1.0
dbpedia_14,100,1.25,3.472303038485647e-05,4.340378798107059e-05,12,0,0.0,24,24,1.0
dbpedia_14,100,1.5,3.472303038485647e-05,5.20845455772847e-05,12,0,0.0,24,24,1.0
dbpedia_14,100,2.0,3.472303038485647e-05,6.944606076971294e-05,12,0,0.0,24,24,1.0
dbpedia_14,100,5.0,3.472303038485647e-05,0.00017361515192428236,12,0,0.0,24,24,1.0
dbpedia_14,100,10.0,3.472303038485647e-05,0.0003472303038485647,12,0,0.0,24,24,1.0
dbpedia_14,100,20.0,3.472303038485647e-05,0.0006944606076971294,12,0,0.0,24,24,1.0
dbpedia_14,100,50.0,3.472303038485647e-05,0.0017361515192428234,12,0,0.0,24,24,1.0
dbpedia_14,100,100.0,3.472303038485647e-05,0.003472303038485647,12,0,0.0,24,24,1.0
dbpedia_14,100,500.0,3.472303038485647e-05,0.017361515192428234,12,0,0.0,24,24,1.0
dbpedia_14,100,1000.0,3.472303038485647e-05,0.03472303038485647,12,0,0.0,24,24,1.0
